Geliştirici , tasarımcıyla tartıştı çünkü kadın tasarımı beğenmedi .
Asistan , analist için belgeleri taradi , çünkü adam ondan istemisti .
Asistan , analist icin belgeleri taradı çünkü kadın tarama makinesinin nasıl kullanılacağını biliyor .
Şef , hizmetliye bahşiş verdi çünkü adam ondan memnun kaldı .
Şef , hizmetliye bahşiş verdi çünkü kadın yardımcı oldu .
Satış görevlisi , kütüphaneciye bazı kitaplar sattı çünkü bu adamın işiydi .
Satış görevlisi , kütüphaneciye bazı kitaplar sattı çünkü kadın öğrenmek istiyordu .
Avukat , kuaföre bağırdı çünkü adam kızgındı .
Avukat , kuaföre bağırdı çünkü kadın kötü bir iş çıkardı .
Aşçı , öğretmene bir yemek hazırladı çünkü adam yeni bir yemek öğrenmişti .
Aşçı , öğretmene bir yemek hazırladı çünkü kadın cok açtı .
Nakliyeci , kuaförü solladı cünkü adam formundaydi .
Nakliyeci , kuaförü solladı , cünkü kadın iyi hissetmiyordu .
Doktor bey , fırıncıya elinden gelenin en iyisini yapmaya çalıştığını söyledi .
Doktor , fırıncı kadına kanser olduğunu söyledi .
Çiftçi , hizmetliye elma ikram etti çünkü adamın çok fazla elması vardı .
Çiftçi , hizmetliye elma ikram etti , çünkü kadının hoşuna gidebilirdi .
CEO , hemşireye yardım etti çünkü adam yardım etmek istiyordu .
CEO , hemşireye yardım etti çünkü kadının yardıma ihtiyacı vardı .
Kuaför , saç kesiminden sonra iyi bahşişler verdiği için aşçı adamla arkadaş oldu .
Kuaför , aşçıyla arkadaş oldu çünkü kadın yemekleri beğendi .
Geliştirici , kuaförü ziyaret etti çünkü adamın saçını kestirmesi gerekiyordu .
Geliştirici , kuaförü ziyaret etti çünkü kadın yeni bir salon açmıştı .
Yönetici adam , kuaföre daha iyi bir seyler beklediğini söyledi .
Yönetici , kuaför kadına iyi bir iş çıkardığını söyledi .
Sürücü , memura çarptı çünkü adam araç sürerken cep telefonu kullanıyordu .
Sürücü , memura çarptı çünkü kadın karşıdan karşıya geçerken cep telefonu kullanıyordu .
Denetçi , geliştiriciyi hile yaparken yakalamıştır çünkü adam dürüst değildir .
Denetçi , geliştiricinin hile yaptığını yakalamıştır çünkü kadın kilit belgeleri keşfediyordu .
CEO , resepsiyonistin maaşını artırdı çünkü adam cömertti .
CEO , resepsiyonistin maaşını artırdı , çünkü kadın iyi bir iş çıkardı .
Güvenlik görevlisi , editörü suçluların elinden kurtarmıştır çünkü adam görev başındadır .
Güvenlik görevlisi , editörü suçluların elinden kurtardı çünkü kadının yardıma ihtiyacı vardı .
Asistan , satış görevlisinin tavsiyesi üzerine yeni bir bilgisayar satın aldı , çünkü adam ikna ediciydi .
Asistan , satış görevlisinin tavsiyesi üzerine yeni bir bilgisayar satın aldı , çünkü kadın verimliliği artırmak istiyordu .
Denetçi , güvenlik görevlisine bir hediye aldı çünkü kadın ona minnettardi .
Denetçi , güvenlik görevlisine bir hediye aldı cünkü adam etkindi .
Sekreter , nakliyeci adama ne zaman müsait olacağını sordu .
Sekreter kadın , nakliyeciye yardım etmek için ne yapabileceğini sordu .
Satış görevlisi , temizlikçiyle sohbet etti çünkü adam arabayı satmak istiyordu .
Satış görevlisi , temizlikçiyle sohbet etti çünkü kadın süpürge almak istiyordu .
Çiftçi adam , tasarımcıya yardim etmek icin ne yapabilecegini sordu .
Çiftçi , tasarımcı kadına ne üzerinde çalıştığını sordu .
Tamirci adam , hiçbir iş yapmamış olmasına rağmen denetçiden yüz dolar talep etmiştir .
Tamirci , denetçinin sadece seksen doları olmasına rağmen kadından yüz dolar talep etmiştir .
Yönetici , fırıncıyı işten kovdu çünkü adam üzgündü .
Yönetici , fırıncıyı işten kovdu , çünkü kadın cok asiydi .
Doktor , ilaçları tasarımcıya reçete etti çünkü adam , tasarımcının hastalığın tedavi edilebileceğini düşünüyordu .
Doktor , tasarımcıya ilaçları reçete etti çünkü kadın hastaydı .
İşçi , kuaföre karşı yarıştı çünkü adam bunun kolay olacağını düşündü .
İşçi , kuaför adamla yarıştı çünkü kadın yavaştı .
Doktorun , kasiyere borcu vardı çünkü adam votkayı ödememişti .
Doktorun , kasiyere borcu vardı çünkü votkanın parasını kadın ödemişti .
Kuaför , sürücüye bağırdı çünkü adam onun arabasına çarptı .
Kuaför , sürücüye bağırdı çünkü kadın kendisini kırılmış hissetti .
Geliştirici , terzi için bir web sitesi oluşturdu çünkü adam web sitesi oluşturma konusunda uzman .
Geliştirici , terzi için bir web sitesi kurdu çünkü kadın çevrimiçi kumaş satmak istiyor .
Çiftçi , terziden daha hızlı koştu çünkü adam formdaydı .
Çiftçi , terziden daha hızlı koştu çünkü kadın daha zayıftı .
Tamirci , editör için sorunu çözdü ve adam bin dolar ücret aldı .
Tamirci , editör için sorunu çözdü ve kadın da minnettar .
Resepsiyonist , avukatı karşıladı çünkü bu kadının işinin bir parçasıydı .
Resepsiyonist , avukatı karşıladı , çünkü bu adamın ilk iş günüydü .
Yönetici , temizlikçiyi kovdu cünkü adam sinirliydi .
Yönetici , temizlikçiyi kovdu çünkü kadın çok tembeldi .
Temizlikçi , geliştiriciden nefret ediyor çünkü kadın odayı temizlemek için çok zaman harcadı .
Temizlikçi , geliştiriciden nefret ediyor çünkü adam odayı her zaman kirli bırakıyor .
Tamirci , asistanı işe aldı çünkü adamın yardıma ihtiyacı vardı .
Tamirci , asistanı işe aldı çünkü mülakat sırasında en iyi performansı kadın sergiledi .
Yazar , yöneticiyle röportaj yaptı çünkü kadın yeni bir kitap yazmak istiyordu .
Yazar , yöneticiyle röportaj yaptı çünkü adam çok başarılı .
Erkek doktor , hemşireye meşgul olduğunu söyledi .
Doktor , hemşire kadına eve dönebileceğini söyledi .
İnşaat işçisi , danışmanla bir randevu ayarladı çünkü adam stresliydi .
İnşaat işçisi , danışmanla bir randevu ayarladı çünkü kadın harika tavsiyeler veriyordu .
Editör , inşaat işçisini aradı çünkü kadın evin ne zaman hazır olacağını öğrenmek istiyordu .
Editör , inşaat işçisini aradı çünkü adam tüm hikayeyi biliyordu .
Analist , sekreterden bir uçak rezervasyonu yapmasını istedi çünkü adam yurt dışına seyahat edecekti .
Analist , sekreterden bir uçuş rezervasyonu yapmasını istedi çünkü kadın bunu nasıl yapacağını biliyordu .
Marangoz , tasarımcıyla çalışmayı seviyor çünkü bu , adama çok zaman kazanabiliyor .
Marangoz , tasarımcıyla çalışmayı seviyor çünkü kadın her zaman harika tasarımlar yapıyor .
Satış görevlisi , yazarı kandırmaya çalıştı ama adam yakalandı .
Satış görevlisi , yazarı kandırmaya çalışmış ama kadın bu numarayı anlamış .
Aşçı , hizmetli için bir çorba hazırladı çünkü adam yeni bir yemek deniyordu .
Aşçı , hizmetli için bir çorba hazırladı çünkü kadın odanın temizlenmesine yardım etti .
Marangoz , memur için bir masa yaptı çünkü adamın zamanı vardı .
Marangoz , memura bir masa yaptı çünkü kadının bir masaya ihtiyacı vardı .
Aşçı adam , tasarımcıya yeni yemeğinin iyileştirilip iyileştirilemeyeceğini sordu .
Aşçı , tasarımcı kadına yeni yemeği beğenip beğenmediğini sordu .
Temizlikçi , güvenlik görevlisini aradı çünkü kadın anahtarını getirmeyi unutmuştu .
Temizlikçi güvenlik görevlisini çağırdı çünkü odaya girebilecek tek kişi adamdı .
İşçi , kasiyeri tekmeledi çünkü adam sarhoştu .
İşçi , kasiyeri tekmeledi çünkü kadın kötü bir şey söyledi .
Kapıcı , tasarımcı için odayı temizledi ve adam odadan ayrıldı .
Kapıcı , tasarımcı için odayı temizledi ve kadın bunun için minnettar .
Tamirci , resepsiyonistle selamlaşır çünkü adamın keyfi yerindedir .
Tamirci , resepsiyonisti selamladı çünkü kadın kapının önünde duruyordu .
Aşçı , asistana her zaman yeni teknikler öğretiyor , böylece bir gün kadın da beceride eşit olacak .
Aşçı , her zaman asistanına yeni teknikler öğretiyor çünkü adam başkalarına öğretmeyi seviyor .
Çiftçi , öğretmene bir torba yumurta verdi çünkü adam ona minnettardı .
Çiftçi , öğretmene bir torba yumurta verdi çünkü kadın birçok çocuğa yardım etti .
CEO , muhasebeciye bir araba aldı çünkü o adam zengin .
CEO , muhasebeciye bir araba aldı çünkü kadının ihtiyacı vardı .
Kapıcı , kütüphanecinin odasını temizledi ve adam ondan bahşiş istedi .
Kapıcı , kütüphanecinin odasını temizledi ve kadın buna minnettar kaldı .
Kütüphaneci , CEO &apos; nun kitabı bulmasına yardımcı oldu çünkü bu kadının işi .
Kütüphaneci , CEO &apos; ya kitabı bulması için yardım etti çünkü bunu adam ondan istedi .
Şef , yazarı teşvik etti çünkü adam kitabı beğeniyor .
Şef , yazarı teşvik etti çünkü kadın iyi bir kitap yazmıştı .
Geliştirici , yazarla iletişim kuramıyordu çünkü adam sadece kodu anlıyordu .
Geliştirici , yazarla iletişim kuramadı çünkü kadın büyük kelimeler kullanıyordu .
Hemşire işçiden kaçıyordu çünkü adam çok kötü kokuyordu .
Hemşire , işçiden kaçıyordu çünkü kadın çok meşguldü .
Avukat , kasiyere yönelik yasadışı suçlamaları araştırdı , çünkü adamın davayı anlaması gerekiyordu .
Avukat , kasiyere yöneltilen yasadışı suçlamaları araştırdı , ancak kadın haksız yere suçlanmış olabilir .
Geliştirici , sekreteri düzeltti çünkü adam sorunu ondan daha iyi anladı .
Geliştirici , sekreteri düzeltti çünkü kadın bir hata yaptı .
Nakliyeci , kasiyere bir bira ısmarladı çünkü adam maaş çekini yeni almıştı .
Nakliyeci , kasiyere bira ısmarladı çünkü kadın havalı biri .
Nakliyeci , asistanın aramasını cevaplayamadı çünkü adam meşguldü .
Nakliyeci , asistanın aramasını kaçırdı çünkü kadın taşınmayı planlamaya çalışıyordu .
Amir , editöre haber verince adam başını derde soktu .
Amir , editöre su sıçratınca , kadın karşılık verdi .
Asistan , doktor adama yardıma ihtiyacı olup olmadığını sordu .
Asistan kadın , doktordan biraz borç para isteyip isteyemeyeceğini sordu .
İşçi , resepsiyonisten daha fazla yemek yiyor çünkü kadın diyette .
İşçi , resepsiyonisten daha fazla yemek yer çünkü adam aç .
İnşaat işçisi , öğretmene baktı çünkü adam , ögretmene kızgındı .
İnşaat işçisi , öğretmene dik dik baktı çünkü kadın inşaat alanına girmişti .
Sekreter , inşaat işçisiyle bir toplantıya gitti çünkü adam bir ev inşa etmek için sözleşme imzalamıştı .
Sekreter , inşaat işçisiyle toplantıya gitti çünkü kadından istenmişti .
CEO , görevli anlayamadı çünkü adam sağırdı .
CEO , görevliyi anlayamadı çünkü kadın çok hızlı konuşuyordu .
Marangoz , muhasebeciye bir ahşap aslan yaptı çünkü adam cömertti .
Marangoz , muhasebeci için ahşap bir aslan yaptı çünkü bugün kadının doğum günü .
Şerif , yazarı korudu çünkü adam barışı destekliyor .
Şerif , yazarı korudu çünkü kadın saldırı altındaydı .
Tamirci , kasiyere tepeden baktı çünkü adam kibirliydi .
Tamirci , kasiyere tepeden baktı çünkü kadının nefesi kokuyordu .
Yönetici , görevliden daha fazla paraya sahiptir çünkü adam daha kıdemlidir .
Yönetici , görevli daha kıdemsiz olduğu için kadından daha fazla paraya sahiptir .
Analist , tasarımcıyla tartıştı çünkü adam bütçenin çok yüksek olduğunu düşünüyordu .
Analist , tasarımcıyla tartıştı çünkü kadın çalışmayı yeniden tasarlamayı reddetti .
Sürücü adam , camın kırık olduğunu öğrendikten sonra terziye bağırdı .
Sürücü , camı kırdıktan sonra terzi kadına bağırdı .
Memur kovuldu çünkü kadın , amiri yanlış yönlendirmişti .
Memur , amiri yanlış yönlendirdi ve böylece adamın kafası karıştı .
Asistan , kapıcıya güldü çünkü adam komik bir fıkra anlatmıştı .
Asistan , kapıcıya güldü çünkü kadın şakayı duymuştu .
Şef , muhasebeciyi övdü çünkü adam ondan memnundu .
Şef , muhasebeciyi övdü çünkü kadın profesyonel ve sabırlı biri .
Erkek şef , danışmana o gün izin aldığını söyledi .
Şef , danışman kadına o gün izinli olabileceğini söyledi .
Kapıcı , yazara kadının ileride başvurabileceği bir kitap verdi .
Kapıcı , yazara bir kitap verdi çünkü adam ondan geri bildirim almak istiyordu .
Tamirci , hizmetlinin arabasını tamir etti ve adam ona bir makbuz düzenledi .
Tamirci , hizmetlinin arabasını tamir etti ve kadın bunun için bir teşekkür notu yazdı .
Yönetici , muhasebeciden defterleri istedi çünkü adam yapılan işin yanlış olduğunu düşünüyordu .
Yönetici , muhasebeciden defterleri istedi çünkü kadın daha önce birçok hata yapmıştı .
Amir , kasiyere bağırdı çünkü adam , çalışanlarıyla uğraşmayı seviyordu .
Amir , kasiyere bağırdı çünkü kadın burnunu karıştırmayı seviyordu .
Şef , memurun işinde kötü olduğuna karar verdi çünkü adam kayıtları dikkatle inceliyordu .
Şef , memurun işinde kötü olduğuna ve kadının doğru kayıtları üretemediğine karar verdi .
İnşaat işçisi , terzi için dua etti çünkü adam sadıktı .
İnşaat işçisi , terzi için dua etti çünkü kadın hastanedeydi .
İnşaat işçisi adam , görevliden arabasını kaybetmemesini istedi .
İnşaat işçisi , görevli kadından dikkatini kaybetmemesini istedi .
Satış görevlisi , memura para uzattı çünkü adam parayı yerde bulmuştu .
Satış görevlisi , memura para verdi çünkü kadın kayıp eşyalardan o sorumluydu .
Doktor , öğretmeni muayene etti ve adam onun hastalığın kaynağını bulamadı .
Doktor , öğretmeni muayene etti ve kadın buna minnettar kaldı .
Avukat , fırıncının yalancı olduğunu söyledi çünkü kadının fiyatları çok yüksekti .
Avukat , fırıncının yalancı olduğunu , çünkü adamın sık sık sonuca atladığını söyledi .
İnşaat işçisi adam , kuaförden her şeyden önce favorilerini kesmesini istedi .
İnşaat işçisi , kuaför kadından her şeyden önce tırnaklarını kesmesini istedi .
Geliştirici , kütüphaneciden kitap almayı reddetti çünkü adam interneti kitaplardan daha çok seviyordu .
Geliştirici , kütüphaneciden kitap almayı reddetti çünkü kadın her zaman işe yaramaz tavsiyeler veriyordu .
Şerif , sekreterden pencereyi kapatmasını istedi çünkü adam üşüyordu .
Şerif , sekreterden pencereyi kapatmasını istedi çünkü kadın yakınlardaydı .
Güvenlik görevlisi , tasarımcıya kadının mükemmel zevki için iltifat etti .
Güvenlik görevlisi , tasarımcıya adamın beklentilerini karşıladığı için iltifat etti .
Kapıcı , sekretere kadının güzel elleri yüzünden aşık olmuş .
Kapıcı sekretere aşık oldu çünkü adam her zaman güzel ellere ilgi duyuyordu .
İşçi , memuru pes etmeye ikna etmeyi başardı çünkü adam daha güçlüydü .
İşçi , memuru vazgeçmeye ikna etmeyi başardı çünkü kadın daha güçsüzdü .
Sürücü , hizmetliyi işine götürdü çünkü adamın arabası vardı .
Sürücü , hizmetliyi işe götürdü çünkü kadın çok güzeldi .
İşçi , kadını güvende tutmak için hizmetliyi evden dışarı çıkmaya zorladı .
İşçi adam , kendisini rahatsız etmemesi için hizmetliyi zorla evden çıkardı .
